# Winter Wonderland LED preset
# num_leds=300
# brightness=41
0 120 0 0
1 120 0 0
2 120 0 0
3 120 0 0
4 120 0 0
5 120 0 0
6 120 0 0
7 120 0 0
8 120 0 0
9 120 0 0
10 120 0 0
11 120 0 0
12 120 0 0
13 120 0 0
14 120 0 0
15 120 0 0
16 120 0 0
17 120 0 0
18 120 0 0
19 120 0 0
20 120 0 0
21 120 0 0
22 120 0 0
23 120 0 0
24 120 0 0
25 120 0 0
26 120 0 0
27 120 0 0
28 120 0 0
29 120 0 0
30 120 0 0
31 120 0 0
32 120 0 0
33 120 0 0
34 120 0 0
35 120 0 0
36 120 0 0
37 120 0 0
38 120 0 0
39 120 0 0
40 120 0 0
41 120 0 0
42 120 0 0
43 120 0 0
44 120 0 0
45 120 0 0
46 120 0 0
47 120 0 0
48 120 0 0
49 120 0 0
50 120 86 0
51 120 86 0
52 120 86 0
53 120 86 0
54 120 86 0
55 120 86 0
56 120 86 0
57 120 86 0
58 120 86 0
59 120 86 0
60 120 86 0
61 120 86 0
62 120 86 0
63 120 86 0
64 120 86 0
65 120 86 0
66 120 86 0
67 120 86 0
68 120 86 0
69 120 86 0
70 120 86 0
71 120 86 0
72 120 86 0
73 120 86 0
74 120 86 0
75 120 86 0
76 120 86 0
77 120 86 0
78 120 86 0
79 120 86 0
80 120 86 0
81 120 86 0
82 120 86 0
83 120 86 0
84 120 86 0
85 120 86 0
86 120 86 0
87 120 86 0
88 120 86 0
89 120 86 0
90 120 86 0
91 120 86 0
92 120 86 0
93 120 86 0
94 120 86 0
95 120 86 0
96 120 86 0
97 120 86 0
98 120 86 0
99 120 86 0
100 120 120 0
101 120 120 0
102 120 120 0
103 120 120 0
104 120 120 0
105 120 120 0
106 120 120 0
107 120 120 0
108 120 120 0
109 120 120 0
110 120 120 0
111 120 120 0
112 120 120 0
113 120 120 0
114 120 120 0
115 120 120 0
116 120 120 0
117 120 120 0
118 120 120 0
119 120 120 0
120 120 120 0
121 120 120 0
122 120 120 0
123 120 120 0
124 120 120 0
125 120 120 0
126 120 120 0
127 120 120 0
128 120 120 0
129 120 120 0
130 120 120 0
131 120 120 0
132 120 120 0
133 120 120 0
134 120 120 0
135 120 120 0
136 120 120 0
137 120 120 0
138 120 120 0
139 120 120 0
140 120 120 0
141 120 120 0
142 120 120 0
143 120 120 0
144 120 120 0
145 120 120 0
146 120 120 0
147 120 120 0
148 120 120 0
149 120 120 0
150 0 120 0
151 0 120 0
152 0 120 0
153 0 120 0
154 0 120 0
155 0 120 0
156 0 120 0
157 0 120 0
158 0 120 0
159 0 120 0
160 0 120 0
161 0 120 0
162 0 120 0
163 0 120 0
164 0 120 0
165 0 120 0
166 0 120 0
167 0 120 0
168 0 120 0
169 0 120 0
170 0 120 0
171 0 120 0
172 0 120 0
173 0 120 0
174 0 120 0
175 0 120 0
176 0 120 0
177 0 120 0
178 0 120 0
179 0 120 0
180 0 120 0
181 0 120 0
182 0 120 0
183 0 120 0
184 0 120 0
185 0 120 0
186 0 120 0
187 0 120 0
188 0 120 0
189 0 120 0
190 0 120 0
191 0 120 0
192 0 120 0
193 0 120 0
194 0 120 0
195 0 120 0
196 0 120 0
197 0 120 0
198 0 120 0
199 0 120 0
200 0 0 123
201 0 0 123
202 0 0 123
203 0 0 123
204 0 0 123
205 0 0 123
206 0 0 123
207 0 0 123
208 0 0 123
209 0 0 123
210 0 0 123
211 0 0 123
212 0 0 123
213 0 0 123
214 0 0 123
215 0 0 123
216 0 0 123
217 0 0 123
218 0 0 123
219 0 0 123
220 0 0 123
221 0 0 123
222 0 0 123
223 0 0 123
224 0 0 123
225 0 0 123
226 0 0 123
227 0 0 123
228 0 0 123
229 0 0 123
230 0 0 123
231 0 0 123
232 0 0 123
233 0 0 123
234 0 0 123
235 0 0 123
236 0 0 123
237 0 0 123
238 0 0 123
239 0 0 123
240 0 0 123
241 0 0 123
242 0 0 123
243 0 0 123
244 0 0 123
245 0 0 123
246 0 0 123
247 0 0 123
248 0 0 123
249 0 0 123
250 53 0 134
251 53 0 134
252 53 0 134
253 53 0 134
254 53 0 134
255 53 0 134
256 53 0 134
257 53 0 134
258 53 0 134
259 53 0 134
260 53 0 134
261 53 0 134
262 53 0 134
263 53 0 134
264 53 0 134
265 53 0 134
266 53 0 134
267 53 0 134
268 53 0 134
269 53 0 134
270 53 0 134
271 53 0 134
272 53 0 134
273 53 0 134
274 53 0 134
275 53 0 134
276 53 0 134
277 53 0 134
278 53 0 134
279 53 0 134
280 53 0 134
281 53 0 134
282 53 0 134
283 53 0 134
284 53 0 134
285 53 0 134
286 53 0 134
287 53 0 134
288 53 0 134
289 53 0 134
290 53 0 134
291 53 0 134
292 53 0 134
293 53 0 134
294 53 0 134
295 53 0 134
296 53 0 134
297 53 0 134
298 53 0 134
299 53 0 134
